16|"579369"|"2589258"|"34800221"
16|"579368"|"2589258"|"34800104"
16|"579367"|"2589258"|"34799987"
16|"579366"|"2589258"|"34799870"
16|"579365"|"2589258"|"34799753"
16|"579363"|"2589258"|"34799594"
16|"579362"|"2589258"|"34799477"
16|"579361"|"2589258"|"34799360"
516|"579368"|"2589251"|"34800066"
516|"579367"|"2589251"|"34799949"
516|"579366"|"2589251"|"34799832"
516|"579365"|"2589251"|"34799715"
516|"579363"|"2589251"|"34799556"
516|"579362"|"2589251"|"34799439"
516|"579361"|"2589251"|"34799322"
5411|"579368"|"2589250"|"34800090"
5411|"579367"|"2589250"|"34799973"
5411|"579366"|"2589250"|"34799856"
5411|"579365"|"2589250"|"34799739"
5411|"579363"|"2589250"|"34799580"
5411|"579362"|"2589250"|"34799463"
5411|"579361"|"2589250"|"34799346"
338|"579368"|"2589249"|"34800119"
338|"579367"|"2589249"|"34800002"
338|"579366"|"2589249"|"34799885"
338|"579365"|"2589249"|"34799768"
338|"579363"|"2589249"|"34799609"
338|"579362"|"2589249"|"34799492"
338|"579361"|"2589249"|"34799375"
106|"579369"|"2589233"|"34800172"
106|"579368"|"2589233"|"34800055"
106|"579367"|"2589233"|"34799938"
106|"579366"|"2589233"|"34799821"
106|"579365"|"2589233"|"34799704"
4|"579364"|"2589233"|"34799638"
106|"579363"|"2589233"|"34799545"
106|"579362"|"2589233"|"34799428"
106|"579361"|"2589233"|"34799311"
147|"579369"|"2589227"|"34800203"
147|"579368"|"2589227"|"34800086"
147|"579367"|"2589227"|"34799969"
147|"579366"|"2589227"|"34799852"
147|"579365"|"2589227"|"34799735"
1|"579364"|"2589227"|"34799646"
147|"579363"|"2589227"|"34799576"
147|"579362"|"2589227"|"34799459"
147|"579361"|"2589227"|"34799342"
4469|"579368"|"2518852"|"34800037"
4469|"579367"|"2518852"|"34799920"
4469|"579366"|"2518852"|"34799803"
4469|"579365"|"2518852"|"34799686"
4469|"579363"|"2518852"|"34799527"
4469|"579362"|"2518852"|"34799410"
4469|"579361"|"2518852"|"34799293"
2335|"579368"|"2518849"|"34800099"
2335|"579367"|"2518849"|"34799982"
2335|"579366"|"2518849"|"34799865"
2335|"579365"|"2518849"|"34799748"
2335|"579363"|"2518849"|"34799589"
2335|"579362"|"2518849"|"34799472"
2335|"579361"|"2518849"|"34799355"
2216|"579368"|"2518848"|"34800035"
2216|"579367"|"2518848"|"34799918"
2216|"579366"|"2518848"|"34799801"
2216|"579365"|"2518848"|"34799684"
2216|"579363"|"2518848"|"34799525"
2216|"579362"|"2518848"|"34799408"
2216|"579361"|"2518848"|"34799291"
145|"579369"|"2484593"|"34800141"
145|"579368"|"2484593"|"34800024"
145|"579367"|"2484593"|"34799907"
145|"579366"|"2484593"|"34799790"
145|"579365"|"2484593"|"34799673"
145|"579363"|"2484593"|"34799514"
145|"579362"|"2484593"|"34799397"
145|"579361"|"2484593"|"34799280"
12128|"579368"|"2482855"|"34800017"
12128|"579367"|"2482855"|"34799900"
12128|"579366"|"2482855"|"34799783"
12128|"579365"|"2482855"|"34799666"
12128|"579363"|"2482855"|"34799507"
12128|"579362"|"2482855"|"34799390"
12128|"579361"|"2482855"|"34799273"
516|"579369"|"2589251"|"34800183"
5411|"579369"|"2589250"|"34800207"
338|"579369"|"2589249"|"34800236"
4469|"579369"|"2518852"|"34800154"
2335|"579369"|"2518849"|"34800216"
2216|"579369"|"2518848"|"34800152"
12128|"579369"|"2482855"|"34800134"
