"Friable"|||||||Yes|"76205284"|"9668197"
"Friable"|||||||Yes|"76205443"|"9667202"
"Loose"|||||||Yes|"76205654"|"9667725"
"Friable"|||||||Yes|"76206811"|"9667943"
"Friable"|||||||Yes|"76205907"|"9667589"
"Friable"|||||||Yes|"76205285"|"9668198"
"Friable"|||||||Yes|"76205918"|"9667116"
"Friable"|||||||Yes|"76206540"|"9667173"
"Friable"|||||||Yes|"76206160"|"9667966"
"Firm"|||||||Yes|"76205274"|"9667831"
"Friable"|||||||Yes|"76206625"|"9667155"
"Loose"|||||||Yes|"76205295"|"9668777"
"Friable"|||||||Yes|"76205451"|"9667165"
"Friable"|||||||Yes|"76205664"|"9667984"
"Friable"|||||||Yes|"76206822"|"9667649"
"Firm"|||||||Yes|"76207166"|"9668079"
"Firm"|||||||Yes|"76206541"|"9667174"
"Firm"|||||||Yes|"76206624"|"9667154"
"Friable"|||||||Yes|"76205458"|"9667667"
"Friable"|||||||Yes|"76207173"|"9667962"
"Very friable"|||||||Yes|"76205665"|"9668176"
"Friable"|||||||Yes|"76206614"|"9667625"
"Firm"|||||||Yes|"76206149"|"9667493"
"Firm"|||||||Yes|"76205624"|"9668078"
"Very friable"|||||||Yes|"76205655"|"9667726"
"Friable"|||||||Yes|"76205289"|"9667523"
"Friable"|||||||Yes|"76206530"|"9667246"
"Friable"|||||||Yes|"76206150"|"9667494"
"Friable"|||||||Yes|"76206613"|"9667624"
"Friable"|||||||Yes|"76205447"|"9667991"
"Friable"|||||||Yes|"76206161"|"9667626"
"Friable"|||||||Yes|"76205631"|"9667947"
"Friable"|||||||Yes|"76206897"|"9667253"
"Firm"|||||||Yes|"76205653"|"9668056"
"Friable"|||||||Yes|"76207162"|"9667620"
"Friable"|||||||Yes|"76206908"|"9668507"
"Firm"|||||||Yes|"76207177"|"9667130"
"Friable"|||||||Yes|"76205906"|"9667588"
"Friable"|||||||Yes|"76206896"|"9667252"
"Friable"|||||||Yes|"76206615"|"9667623"
"Friable"|||||||Yes|"76206813"|"9667945"
"Friable"|||||||Yes|"76205296"|"9668778"
"Friable"|||||||Yes|"76205905"|"9668092"
"Friable"|||||||Yes|"76206146"|"9668137"
"Friable"|||||||Yes|"76205673"|"9667518"
"Friable"|||||||Yes|"76206907"|"9668506"
"Friable"|||||||Yes|"76206814"|"9668181"
"Friable"|||||||Yes|"76206623"|"9667151"
"Friable"|||||||Yes|"76205917"|"9667455"
"Firm"|||||||Yes|"76206157"|"9667138"
"Firm"|||||||Yes|"76205915"|"9667453"
"Friable"|||||||Yes|"76205620"|"9667650"
"Friable"|||||||Yes|"76205270"|"9667827"
"Very friable"|||||||Yes|"76205281"|"9668200"
"Firm"|||||||Yes|"76206824"|"9667039"
"Friable"|||||||Yes|"76205916"|"9667454"
"Friable"|||||||Yes|"76206543"|"9668020"
"Friable"|||||||Yes|"76206812"|"9667944"
"Friable"|||||||Yes|"76205899"|"9667935"
"Friable"|||||||Yes|"76205662"|"9667982"
"Very friable"|||||||Yes|"76207158"|"9668123"
"Friable"|||||||Yes|"76205627"|"9667470"
"Firm"|||||||Yes|"76206904"|"9667178"
"Friable"|||||||Yes|"76206538"|"9667169"
"Friable"|||||||Yes|"76206532"|"9667248"
"Loose"|||||||Yes|"76205292"|"9667569"
"Friable"|||||||Yes|"76206147"|"9668138"
"Friable"|||||||Yes|"76205656"|"9667727"
"Firm"|||||||Yes|"76206911"|"9668090"
"Firm"|||||||Yes|"76205921"|"9667118"
"Friable"|||||||Yes|"76206612"|"9668132"
"Friable"|||||||Yes|"76205629"|"9667948"
"Friable"|||||||Yes|"76206819"|"9668180"
"Very friable"|||||||Yes|"76205616"|"9668183"
"Friable"|||||||Yes|"76206627"|"9667152"
"Friable"|||||||Yes|"76206542"|"9668019"
"Friable"|||||||Yes|"76205910"|"9668516"
"Friable"|||||||Yes|"76205667"|"9668172"
"Very friable"|||||||Yes|"76205666"|"9668171"
"Friable"|||||||Yes|"76207159"|"9668124"
"Friable"|||||||Yes|"76205448"|"9667992"
"Firm"|||||||Yes|"76206531"|"9667247"
"Firm"|||||||Yes|"76205460"|"9668086"
"Friable"|||||||Yes|"76205280"|"9668199"
"Very friable"|||||||Yes|"76205291"|"9667568"
"Friable"|||||||Yes|"76205674"|"9667519"
"Friable"|||||||Yes|"76205273"|"9667830"
"Friable"|||||||Yes|"76205898"|"9667934"
"Friable"|||||||Yes|"76205450"|"9667164"
"Friable"|||||||Yes|"76206620"|"9667506"
"Friable"|||||||Yes|"76205663"|"9667983"
"Friable"|||||||Yes|"76205618"|"9668185"
"Firm"|||||||Yes|"76206539"|"9667172"
"Friable"|||||||Yes|"76206156"|"9667137"
"Firm"|||||||Yes|"76206826"|"9667465"
"Friable"|||||||Yes|"76207161"|"9668126"
"Friable"|||||||Yes|"76205617"|"9668184"
"Friable"|||||||Yes|"76205628"|"9667471"
"Friable"|||||||Yes|"76206546"|"9668504"
"Friable"|||||||Yes|"76207170"|"9667491"
"Friable"|||||||Yes|"76206900"|"9668023"
"Very friable"|||||||Yes|"76205282"|"9668195"
"Friable"|||||||Yes|"76206827"|"9667466"
"Friable"|||||||Yes|"76205913"|"9668513"
"Very friable"|||||||Yes|"76206815"|"9668182"
"Friable"|||||||Yes|"76206145"|"9668136"
"Friable"|||||||Yes|"76205293"|"9667570"
"Very friable"|||||||Yes|"76206816"|"9668177"
"Friable"|||||||Yes|"76206158"|"9667964"
"Very friable"|||||||Yes|"76205903"|"9668307"
"Very friable"|||||||Yes|"76205271"|"9667828"
"Friable"|||||||Yes|"76207169"|"9667490"
"Friable"|||||||Yes|"76205914"|"9667452"
"Friable"|||||||Yes|"76205269"|"9667749"
"Very friable"|||||||Yes|"76206609"|"9668129"
"Friable"|||||||Yes|"76206903"|"9667175"
"Friable"|||||||Yes|"76205290"|"9667571"
"Very friable"|||||||Yes|"76207157"|"9668128"
"Very friable"|||||||Yes|"76205902"|"9668306"
"Very friable"|||||||Yes|"76206144"|"9668135"
"Friable"|||||||Yes|"76205456"|"9667665"
"Firm"|||||||Yes|"76206535"|"9668089"
"Friable"|||||||Yes|"76205920"|"9667115"
"Firm"|||||||Yes|"76207168"|"9667489"
"Friable"|||||||Yes|"76207171"|"9667963"
"Friable"|||||||Yes|"76205659"|"9667644"
"Friable"|||||||Yes|"76205279"|"9667673"
"Firm"|||||||Yes|"76206155"|"9667136"
"Friable"|||||||Yes|"76207156"|"9668127"
"Friable"|||||||Yes|"76206545"|"9668503"
"Friable"|||||||Yes|"76205670"|"9668175"
"Firm"|||||||Yes|"76207179"|"9667132"
"Firm"|||||||Yes|"76205626"|"9667469"
"Friable"|||||||Yes|"76205445"|"9667204"
"Friable"|||||||Yes|"76206820"|"9667647"
"Friable"|||||||Yes|"76205449"|"9667993"
"Firm"|||||||Yes|"76205264"|"9668057"
"Friable"|||||||Yes|"76205909"|"9668515"
"Friable"|||||||Yes|"76207164"|"9667622"
"Friable"|||||||Yes|"76205922"|"9667119"
"Friable"|||||||Yes|"76206901"|"9667176"
"Friable"|||||||Yes|"76207175"|"9667129"
"Friable"|||||||Yes|"76205658"|"9667729"
"Friable"|||||||Yes|"76206610"|"9668130"
"Friable"|||||||Yes|"76206630"|"9667975"
"Friable"|||||||Yes|"76206148"|"9667492"
"Friable"|||||||Yes|"76205619"|"9668186"
"Friable"|||||||Yes|"76205671"|"9667516"
"Friable"|||||||Yes|"76207167"|"9667488"
"Friable"|||||||Yes|"76205452"|"9667163"
"Very friable"|||||||Yes|"76205911"|"9668517"
"Friable"|||||||Yes|"76205630"|"9667946"
"Friable"|||||||Yes|"76206818"|"9668179"
"Friable"|||||||Yes|"76205457"|"9667666"
"Friable"|||||||Yes|"76205900"|"9667936"
"Friable"|||||||Yes|"76205283"|"9668196"
"Friable"|||||||Yes|"76206159"|"9667965"
"Friable"|||||||Yes|"76207172"|"9667961"
"Friable"|||||||Yes|"76205669"|"9668174"
"Friable"|||||||Yes|"76205901"|"9668309"
"Firm"|||||||Yes|"76206619"|"9667505"
"Friable"|||||||Yes|"76207178"|"9667131"
"Friable"|||||||Yes|"76205660"|"9667645"
"Friable"|||||||Yes|"76205268"|"9667748"
"Very friable"|||||||Yes|"76205294"|"9668776"
"Friable"|||||||Yes|"76207160"|"9668125"
"Very friable"|||||||Yes|"76206608"|"9668134"
"Friable"|||||||Yes|"76206902"|"9667177"
"Very friable"|||||||Yes|"76205615"|"9668188"
"Friable"|||||||Yes|"76206621"|"9667507"
"Friable"|||||||Yes|"76206536"|"9667170"
"Firm"|||||||Yes|"76205453"|"9667166"
"Loose"|||||||Yes|"76205272"|"9667829"
"Friable"|||||||Yes|"76206828"|"9667467"
"Firm"|||||||Yes|"76206617"|"9668083"
"Friable"|||||||Yes|"76206628"|"9667973"
"Friable"|||||||Yes|"76206547"|"9668505"
"Friable"|||||||Yes|"76207176"|"9667127"
"Friable"|||||||Yes|"76205625"|"9667468"
"Friable"|||||||Yes|"76206817"|"9668178"
"Friable"|||||||Yes|"76206622"|"9667153"
"Firm"|||||||Yes|"76205923"|"9667120"
"Friable"|||||||Yes|"76206142"|"9668139"
"Firm"|||||||Yes|"76206626"|"9667156"
"Very friable"|||||||Yes|"76205297"|"9668775"
"Very friable"|||||||Yes|"76205266"|"9667746"
"Very friable"|||||||Yes|"76205912"|"9668512"
"Friable"|||||||Yes|"76205614"|"9668187"
"Friable"|||||||Yes|"76205657"|"9667728"
"Firm"|||||||Yes|"76205287"|"9667521"
"Friable"|||||||Yes|"76206533"|"9667249"
"Friable"|||||||Yes|"76206611"|"9668131"
"Friable"|||||||Yes|"76206163"|"9667628"
"Friable"|||||||Yes|"76205621"|"9667651"
"Friable"|||||||Yes|"76207174"|"9667128"
"Firm"|||||||Yes|"76205276"|"9667833"
"Friable"|||||||Yes|"76205668"|"9668173"
"Friable"|||||||Yes|"76205288"|"9667522"
"Friable"|||||||Yes|"76205446"|"9667205"
"Friable"|||||||Yes|"76206152"|"9667134"
"Firm"|||||||Yes|"76206906"|"9667180"
"Loose"|||||||Yes|"76205265"|"9667745"
"Friable"|||||||Yes|"76205277"|"9667671"
"Friable"|||||||Yes|"76206162"|"9667627"
"Friable"|||||||Yes|"76206153"|"9667135"
"Friable"|||||||Yes|"76206898"|"9668021"
"Firm"|||||||Yes|"76206141"|"9668080"
"Friable"|||||||Yes|"76205908"|"9668514"
