"Summit"|"40831797"|"17132532"
"Summit"|"40830921"|"17131648"
"Summit"|"40831116"|"17131728"
"Summit"|"40831786"|"17132051"
"Backslope"|"40831786"|"17132052"
"Footslope"|"40831786"|"17132053"
"Summit"|"40831604"|"17132538"
"Summit"|"40830947"|"17131659"
"Summit"|"40831738"|"17131658"
"Summit"|"40831606"|"17132105"
"Backslope"|"40831606"|"17132106"
"Footslope"|"40831606"|"17132107"
"Summit"|"40830928"|"17132141"
"Backslope"|"40830928"|"17132142"
"Footslope"|"40830928"|"17132143"
"Backslope"|"40831985"|"17132462"
"Footslope"|"40831985"|"17132463"
"Toeslope"|"40831985"|"17132464"
"Summit"|"40830677"|"17131801"
"Summit"|"40831279"|"17131890"
"Backslope"|"40831279"|"17131891"
"Footslope"|"40831279"|"17131892"
"Summit"|"40831730"|"17131920"
"Backslope"|"40831730"|"17131921"
"Footslope"|"40831730"|"17131922"
"Summit"|"40831552"|"17132045"
"Backslope"|"40831552"|"17132046"
"Footslope"|"40831552"|"17132047"
"Backslope"|"40830782"|"17132435"
"Footslope"|"40830782"|"17132436"
"Toeslope"|"40830782"|"17132437"
"Summit"|"40831974"|"17132347"
"Shoulder"|"40831974"|"17132348"
"Backslope"|"40831974"|"17132349"
"Footslope"|"40831974"|"17132350"
"Toeslope"|"40831974"|"17132351"
"Backslope"|"40831557"|"17132432"
"Footslope"|"40831557"|"17132433"
"Toeslope"|"40831557"|"17132434"
"Summit"|"40831119"|"17132242"
"Shoulder"|"40831119"|"17132243"
"Backslope"|"40831119"|"17132244"
"Footslope"|"40831119"|"17132245"
"Toeslope"|"40831119"|"17132246"
"Summit"|"40831971"|"17131647"
"Summit"|"40831794"|"17132282"
"Shoulder"|"40831794"|"17132283"
"Backslope"|"40831794"|"17132284"
"Footslope"|"40831794"|"17132285"
"Toeslope"|"40831794"|"17132286"
"Summit"|"40831601"|"17132352"
"Shoulder"|"40831601"|"17132353"
"Backslope"|"40831601"|"17132354"
"Footslope"|"40831601"|"17132355"
"Toeslope"|"40831601"|"17132356"
"Summit"|"40831982"|"17131884"
"Backslope"|"40831982"|"17131885"
