"u"|"76205284"|"32976978"
"w"|"76205443"|"32977694"
"u"|"76205907"|"32977755"
"w"|"76205918"|"32977882"
"b"|"76205918"|"32977883"
"w"|"76206540"|"32977950"
"w"|"76206160"|"32977573"
"u"|"76206160"|"32977574"
"w"|"76205274"|"32977255"
"w"|"76206625"|"32977929"
"w"|"76205451"|"32977940"
"b"|"76205451"|"32977941"
"w"|"76205664"|"32977591"
"u"|"76205664"|"32977592"
"u"|"76206822"|"32976727"
"w"|"76206541"|"32977951"
"w"|"76206624"|"32977928"
"u"|"76205458"|"32976745"
"u"|"76207173"|"32977569"
"b"|"76205665"|"32976953"
"u"|"76206614"|"32977791"
"w"|"76206149"|"32977669"
"b"|"76205655"|"32977017"
"w"|"76206530"|"32977716"
"u"|"76206613"|"32977790"
"u"|"76206161"|"32977792"
"u"|"76205631"|"32977554"
"u"|"76207162"|"32977786"
"u"|"76206908"|"32976780"
"w"|"76207177"|"32977900"
"u"|"76205906"|"32977754"
"u"|"76206615"|"32977789"
"u"|"76206813"|"32977553"
"w"|"76206813"|"32977552"
"w"|"76205296"|"32977402"
"b"|"76205296"|"32977403"
"u"|"76205905"|"32977753"
"u"|"76206146"|"32976908"
"u"|"76206907"|"32976779"
"w"|"76206814"|"32976958"
"b"|"76206814"|"32976959"
"w"|"76206157"|"32977909"
"w"|"76205915"|"32977649"
"u"|"76205620"|"32976728"
"b"|"76205281"|"32976981"
"w"|"76206543"|"32977627"
"u"|"76206543"|"32977628"
"u"|"76206812"|"32977551"
"u"|"76205899"|"32977542"
"u"|"76207158"|"32976891"
"w"|"76206904"|"32977956"
"w"|"76205656"|"32977019"
"b"|"76205656"|"32977018"
"w"|"76205921"|"32977886"
"w"|"76205629"|"32977555"
"u"|"76205629"|"32977556"
"u"|"76205616"|"32976961"
"b"|"76206627"|"32977925"
"w"|"76206627"|"32977924"
"u"|"76206542"|"32977626"
"w"|"76205910"|"32976789"
"b"|"76205910"|"32976790"
"w"|"76205667"|"32976948"
"u"|"76205667"|"32976949"
"u"|"76205666"|"32976947"
"w"|"76207159"|"32976892"
"u"|"76207159"|"32976893"
"u"|"76205448"|"32977599"
"w"|"76206531"|"32977717"
"w"|"76205280"|"32976979"
"b"|"76205280"|"32976980"
"w"|"76205273"|"32977253"
"b"|"76205273"|"32977254"
"w"|"76205450"|"32977938"
"b"|"76205450"|"32977939"
"u"|"76205663"|"32977590"
"u"|"76205618"|"32976964"
"w"|"76206539"|"32977949"
"w"|"76206156"|"32977908"
"w"|"76206826"|"32977655"
"w"|"76205617"|"32976962"
"u"|"76205617"|"32976963"
"u"|"76206546"|"32976777"
"w"|"76206900"|"32977630"
"u"|"76206900"|"32977631"
"u"|"76205282"|"32976975"
"w"|"76205913"|"32976786"
"u"|"76205913"|"32976787"
"b"|"76206815"|"32976960"
"w"|"76206145"|"32976906"
"u"|"76206145"|"32976907"
"u"|"76206816"|"32976954"
"w"|"76205903"|"32977449"
"b"|"76205271"|"32977252"
"w"|"76205914"|"32977648"
"u"|"76206609"|"32976898"
"w"|"76205290"|"32977226"
"b"|"76207157"|"32976897"
"u"|"76206144"|"32976905"
"u"|"76205456"|"32976743"
"w"|"76207168"|"32977667"
"w"|"76207171"|"32977570"
"u"|"76207171"|"32977571"
"u"|"76205659"|"32977810"
"u"|"76205279"|"32976751"
"w"|"76206155"|"32977907"
"w"|"76207156"|"32976895"
"b"|"76207156"|"32976896"
"u"|"76206545"|"32976776"
"w"|"76205670"|"32976951"
"b"|"76205670"|"32976952"
"w"|"76207179"|"32977902"
"w"|"76205626"|"32977657"
"u"|"76206820"|"32976725"
"w"|"76205449"|"32977600"
"u"|"76205449"|"32977601"
"u"|"76207164"|"32977788"
"w"|"76205922"|"32977887"
"w"|"76206901"|"32977952"
"b"|"76206901"|"32977953"
"w"|"76207175"|"32977898"
"b"|"76207175"|"32977899"
"w"|"76206610"|"32976899"
"u"|"76206610"|"32976900"
"w"|"76206630"|"32977582"
"u"|"76206630"|"32977583"
"w"|"76206148"|"32977668"
"w"|"76205671"|"32977680"
"w"|"76207167"|"32977666"
"b"|"76205911"|"32976791"
