LegendText,RgbString
"Albolls","#815956"
"Andepts","#60BBAD"
"Anthrepts","#60B387"
"Aqualfs","#935EDC"
"Aquands","#829D5D"
"Aquents","#869C5D"
"Aquepts","#91875A"
"Aquerts","#876A58"
"Aquods","#6099C7"
"Aquolls","#805ED9"
"Aquox","#B25DE0"
"Aquults","#BD5DE2"
"Arents","#5FB180"
"Argids","#805555"
"Boralfs","#60B3C1"
"Borolls","#6D5FD5"
"Calcids","#92955B"
"Cambids","#6CA55E"
"Cryalfs","#C85CE3"
"Cryands","#60B9A5"
"Cryepts","#60B89D"
"Cryerts","#5FAE73"
"Cryids","#608ACA"
"Cryods","#F05AB4"
"Cryolls","#F55893"
"Durids","#899A5C"
"Ferrods","#896E58"
"Fibrists","#8C985C"
"Fluvents","#5FB07A"
"Folists","#5F73CF"
"Gelands","#5F6AD1"
"Gelepts","#60BCB5"
"Gelods","#5F7BCE"
"Gelolls","#60B58E"
"Gypsids","#90975C"
"Hemists","#60B696"
"Histels","#866557"
"Humods","#60A0C6"
"Humox","#ED5AC8"
"Humults","#9D5DDD"
"Ochrepts","#94925B"
"Orthels","#D45CE5"
"Orthents","#8A7359"
"Orthids","#5FAB67"
"Orthods","#835D56"
"Orthox","#5F62D2"
"Perox","#895EDA"
"Plaggepts","#5F83CC"
"Psamments","#F3599E"
"Rendolls","#EB5BD2"
"Salids","#EE5ABE"
"Saprists","#846157"
"Torrands","#F8577B"
"Torrerts","#FC5656"
"Torrox","#765ED7"
"Tropepts","#FB5663"
"Turbels","#8E7D5A"
"Udalfs","#E05CE7"
"Udands","#A85DDF"
"Udepts","#5FAA61"
"Uderts","#67A75E"
"Udolls","#76A25E"
"Udox","#62A85F"
"Udults","#60BEBE"
"Umbrepts","#8C7859"
"Ustalfs","#F65887"
"Ustands","#F259A9"
"Ustepts","#60ACC3"
"Usterts","#EA5BDB"
"Ustolls","#6092C9"
"Ustox","#928D5B"
"Ustults","#71A35E"
"Vitrands","#7AA05E"
"Wassents","#F9576F"
"Wassists","#655FD4"
"Xeralfs","#5FAD6D"
"Xerands","#E85BE5"
"Xerepts","#60A6C4"
"Xererts","#7E9F5D"
"Xerolls","#60B8C0"
"Xerults","#8F825A"
"Not rated or not available","#DCDCDC"
