LegendText,RgbString
"1","#FF0000"
"1a","#FF1F00"
"1h","#FF3000"
"1k","#FF3D00"
"1kk","#FF4800"
"1s","#FF5100"
"1sa","#FF5A00"
"1sk","#FF6200"
"1skk","#FF6A00"
"1ss","#FF7100"
"1ssa","#FF7800"
"2","#FF7F00"
"2a","#FF8600"
"2h","#FF8C00"
"2k","#FF9300"
"2kk","#FF9900"
"3","#FF9F00"
"3a","#FFA600"
"4","#FFAC00"
"4a","#FFB200"
"4c","#FFB700"
"4ca","#FFBD00"
"4cc","#FFC300"
"4ck","#FFC900"
"4k","#FFCF00"
"4sa","#FFD400"
"5","#FFDA00"
"5a","#FFE000"
"5k","#FFE500"
"5kk","#FFEB00"
"6","#FFF100"
"6a","#FFF600"
"6d","#FFFC00"
"6da","#FDFE18"
"6dk","#FAFD2B"
"6g","#F7FD38"
"6ga","#F4FD43"
"6gk","#F1FD4D"
"6gkk","#EEFD55"
"6k","#EAFD5D"
"6kk","#E7FC65"
"7","#E3FC6D"
"7a","#E0FC74"
"7k","#DCFC7B"
"7s","#D8FB81"
"7sa","#D4FB88"
"7sk","#D0FB8F"
"8","#CBFB95"
"8k","#C7FA9B"
"9","#C2FAA2"
"9c","#BDFAA8"
"9l","#B8FAAE"
"9n","#B2F9B4"
"9nw","#ACF9BA"
"9w","#A6F9C0"
"10","#9FF8C6"
"Not applicable","#98F8CC"
"Not rated","#90F8D2"
"1f","#88F7D8"
"1af","#7EF7DE"
"1hf","#74F7E4"
"1kf","#68F6E9"
"1sf","#5AF6EF"
"1saf","#47F5F5"
"1skf","#2DF5FB"
"1ssf","#0FF2FF"
"1ssaf","#24EBFF"
"2f","#30E4FF"
"2af","#39DDFF"
"2hf","#40D6FF"
"2kf","#45CFFF"
"3f","#4AC7FF"
"3af","#4DC0FF"
"4f","#50B9FF"
"4cf","#52B1FF"
"4caf","#54AAFF"
"4ckf","#56A2FF"
"4kf","#579BFF"
"4saf","#5793FF"
"5f","#588CFF"
"5af","#5884FF"
"5kf","#577CFF"
"6f","#5673FF"
"6af","#556BFF"
"6df","#5462FF"
"6daf","#5258FF"
"6dkf","#504EFF"
"6kf","#4E43FF"
"7f","#4B36FF"
"7af","#4826FF"
"7kf","#440AFF"
"7sf","#4000FF"
"7saf","#3B00FF"
"7skf","#3500FF"
"8f","#2E00FF"
"9f","#2500FF"
"9wf","#1900FF"
"4af","#0000FF"
"Not rated or not available","#DCDCDC"
