LegendText,RgbString
"Haplocryepts","#895EDA"
"Haplocryerts","#ED5AC4"
"Haplocryids","#7BA05D"
"Haplocryods","#8D7C5A"
"Haplocryolls","#68A65E"
"Haplodurids","#5FAA60"
"Haplofibrists","#609AC7"
"Haplogelepts","#608ACB"
"Haplogelods","#91885A"
"Haplogelolls","#8B5EDA"
"Haplogypsids","#60B9A3"
"Haplohemists","#60B3C1"
"Haplohumods","#60BCB4"
"Haplohumox","#60B282"
"Haplohumults","#886D58"
"Haploperox","#5FAE73"
"Haplorthels","#635FD4"
"Haplorthods","#60ADC3"
"Haplorthox","#76A25E"
"Haplosalids","#60AAC3"
"Haplosaprists","#6098C8"
"Haplotorrands","#F7577F"
"Haplotorrerts","#846157"
"Haplotorrox","#899A5C"
"Haploturbels","#5FAA63"
"Haplowassents","#E85BE7"
"Haplowassists","#60BAAA"
"Haploxeralfs","#60B48E"
"Haploxerands","#63A85F"
"Haploxerepts","#60BCB5"
"Haploxererts","#EA5BDC"
"Haploxerolls","#F95770"
"Haploxerults","#829D5D"
"Hapludalfs","#879B5D"
"Hapludands","#938E5B"
"Hapludepts","#60BBAE"
"Hapluderts","#608DCA"
"Hapludolls","#EE5AC3"
"Hapludox","#F159AF"
"Hapludults","#5FAD6F"
"Haplumbrepts","#849C5D"
"Haplustalfs","#60B389"
"Haplustands","#60A6C4"
"Haplustepts","#8A9A5C"
"Haplusterts","#70A45E"
"Haplustolls","#EF5ABD"
"Haplustox","#F6588C"
"Haplustults","#EE5AC1"
"Haprendolls","#825D56"
"Hemistels","#60BDB7"
"Historthels","#8A995C"
"Histoturbels","#FC5658"
"Humaquepts","#8D5EDB"
"Humicryepts","#8A7259"
"Humicryerts","#5F61D2"
"Humicryods","#5F77CE"
"Humigelepts","#94925B"
"Humigelods","#6099C7"
"Humitropepts","#815956"
"Humixerepts","#E95BE1"
"Humudepts","#7D9F5D"
"Humustepts","#609CC7"
"Hydrandepts","#879B5D"
"Hydraquents","#8B7459"
"Hydrocryands","#60BDBB"
"Hydrowassents","#EB5BD5"
"Hydrudands","#5F83CC"
"Kandiaqualfs","#7CA05D"
"Kandiaquults","#645FD4"
"Kandihumults","#8E7F5A"
"Kandiperox","#60B386"
"Kandiudalfs","#F4589A"
"Kandiudox","#F55890"
"Kandiudults","#68A75E"
"Kandiustalfs","#60BBAF"
"Kandiustox","#F8577B"
"Kandiustults","#60B58F"
"Kanhaplaquults","#ED5AC8"
"Kanhaplohumults","#60BBBF"
"Kanhapludalfs","#60B798"
"Kanhapludults","#899A5C"
"Kanhaplustalfs","#819E5D"
"Kanhaplustults","#6E5FD5"
"Luvifibrists","#5F64D2"
"Luvihemists","#8A7059"
"Medifibrists","#60A1C5"
"Medifolists","#75A25E"
"Medihemists","#90865A"
"Medisaprists","#60A7C4"
"Melanaquands","#6F5FD6"
"Melanocryands","#896F58"
"Melanoxerands","#65A75F"
"Melanudands","#60B89F"
"Molliturbels","#7F9E5D"
"Mollorthels","#91895A"
"Nadurargids","#928C5B"
"Natralbolls","#8F815A"
"Natraqualfs","#5FAD6D"
"Natraquerts","#CA5CE4"
"Natraquolls","#809E5D"
"Natrargids","#955EDC"
"Natriboralfs","#825B56"
"Natriborolls","#EB5BD4"
"Natricryolls","#C25DE3"
"Natridurids","#5F7FCD"
"Natrigypsids","#5FAA62"
"Natrixeralfs","#675FD4"
"Natrixerolls","#FB5661"
"Natrudalfs","#9E5DDD"
"Natrudolls","#866758"
"Natrustalfs","#60BCB1"
"Natrustolls","#74A25E"
"Ochraqualfs","#5F85CC"
"Ochraquox","#60BEBE"
"Ochraquults","#AD5DE0"
"Paleaquults","#60B9A4"
"Paleargids","#A25DDE"
"Paleboralfs","#5FB180"
"Paleborolls","#60BDBE"
"Palecryalfs","#F8577D"
"Palecryolls","#5F73CF"
"Palehumults","#69A65E"
"Paleorthids","#8E5EDB"
"Paleudalfs","#77A15E"
"Paleudolls","#876958"
"Paleudults","#60B697"
"Paleustalfs","#66A75E"
"Paleustolls","#F259A3"
"Paleustults","#5F65D2"
"Palexeralfs","#8E805A"
"Palexerolls","#5FAB67"
"Palexerults","#6EA55E"
"Pelloxererts","#609DC6"
"Pelluderts","#EE5ABF"
"Pellusterts","#60A95F"
"Petraquepts","#896E58"
"Petroargids","#856257"
"Petrocalcids","#866557"
"Petrocambids","#F9576E"
"Petrocryids","#5F76CF"
"Petrogypsids","#5FAF77"
"Placandepts","#7AA05E"
"Placaquands","#60BDB8"
"Placaquepts","#F3599F"
"Placaquods","#8A7159"
"Placocryods","#F95773"
"Placohumods","#F259A9"
"Placorthods","#8E7D5A"
"Placudands","#5F82CC"
"Plagganthrepts","#8C7959"
"Plaggepts","#6AA65E"
"Plinthaqualfs","#60B4C1"
"Plinthaquepts","#9B5EDD"
"Plinthaquox","#BC5DE2"
"Plinthaquults","#886C58"
"Plinthohumults","#8D7A59"
"Plinthoxeralfs","#F55892"
