MapUnitKey,RatingStr,RatingNum,RgbString
dummy,dummy,123.456,dummy
2482855,"",,"#DCDCDC"
2484593,"Coarse-loamy, mixed, active, mesic Dystric Eutrudepts",,"#805555"
2518848,"",,"#DCDCDC"
2518849,"",,"#DCDCDC"
2518852,"",,"#DCDCDC"
2589227,"Coarse-loamy, mixed, active, mesic Dystric Eutrudepts",,"#805555"
2589233,"Coarse-loamy, mixed, active, mesic Dystric Eutrudepts",,"#805555"
2589249,"",,"#DCDCDC"
2589250,"",,"#DCDCDC"
2589251,"",,"#DCDCDC"
2589258,"Coarse-loamy, mixed, active, mesic Dystric Eutrudepts",,"#805555"
