LegendText,RgbString
"Not prime farmland","#FF0000"
"All areas are prime farmland","#32CC32"
"Prime farmland if drained","#00FA9A"
"Prime farmland if protected from flooding or not frequently flooded during the growing season","#7FFF00"
"Prime farmland if irrigated","#FFFF00"
"Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season","#FFD700"
"Prime farmland if irrigated and drained","#A52A2A"
"Prime farmland if irrigated and either protected from flooding or not frequently flooded during the growing season","#B7B471"
"Prime farmland if subsoiled, completely removing the root inhibiting soil layer","#FFDAB9"
"Prime farmland if irrigated and the product of I (soil erodibility) x C (climate factor) does not exceed 60","#20B2AA"
"Prime farmland if irrigated and reclaimed of excess salts and sodium","#008B8B"
"Farmland of statewide importance","#00FFFF"
"Farmland of statewide importance, if drained","#3366FF"
"Farmland of statewide importance, if protected from flooding or not frequently flooded during the growing season","#FF00FF"
"Farmland of statewide importance, if irrigated","#FF9900"
"Farmland of statewide importance, if drained and either protected from flooding or not frequently flooded during the growing season","#ACFF05"
"Farmland of statewide importance, if irrigated and drained","#008000"
"Farmland of statewide importance, if irrigated and either protected from flooding or not frequently flooded during the growing season","#800000"
"Farmland of statewide importance, if subsoiled, completely removing the root inhibiting soil layer","#CCFFFF"
"Farmland of statewide importance, if irrigated and the product of I (soil erodibility) x C (climate factor) does not exceed 60","#FF99CC"
"Farmland of statewide importance, if irrigated and reclaimed of excess salts and sodium","#666699"
"Farmland of statewide importance, if drained or either protected from flooding or not frequently flooded during the growing season","#FFFF77"
"Farmland of statewide importance, if warm enough, and either drained or either protected from flooding or not frequently flooded during the growing season","#008777"
"Farmland of statewide importance, if warm enough","#996600"
"Farmland of statewide importance, if thawed","#FF7777"
"Farmland of local importance","#4682B4"
"Farmland of local importance, if irrigated","#FF6600"
"Farmland of unique importance","#00BFFF"
"Not rated or not available","#DCDCDC"
