LegendText,RgbString
"Alfic Humic Vitrixerands","#7E9F5D"
"Alfic Lithic Argiustolls","#8B7659"
"Alfic Oxyaquic Fragiorthods","#F3599E"
"Alfic Oxyaquic Haplorthods","#825B56"
"Alfic Sideraquods","#7A5ED7"
"Alfic Udarents","#93955B"
"Alfic Udipsamments","#5FAE72"
"Alfic Udivitrands","#775ED7"
"Alfic Ustipsamments","#5FAF74"
"Alfic Vertic Argiudolls","#8B7559"
"Alfic Vitricryands","#7CA05D"
"Alfic Vitrixerands","#5FAE74"
"Alfic Xerarents","#F05AB6"
"Alfic Xeropsamments","#705FD6"
"Alic Aquic Melanudands","#805756"
"Alic Dystraquerts","#F85779"
"Alic Dystruderts","#5F6CD0"
"Alic Endoaquands","#5F71CF"
"Alic Epiaquands","#60B697"
"Alic Fulvudands","#899A5C"
"Alic Haplaquands","#F65889"
"Alic Haplocryands","#5F77CE"
"Alic Hapludands","#815956"
"Alic Melanocryands","#F45897"
"Alic Melanudands","#68A65E"
"Alic Pachic Melanudands","#94945B"
"Alic Thaptic Melanudands","#DA5CE6"
"Andaqueptic","#5FAC69"
"Andaqueptic Cryaquents","#5F67D1"
"Andaqueptic Fluvaquents","#5FAC69"
"Andaqueptic Haplaquolls","#FC565C"
"Andaqueptic Ochraqualfs","#D35CE5"
"Andaquic","#6DA55E"
"Andeptic","#FA576B"
"Andeptic Cryoboralfs","#BE5DE2"
"Andeptic Cryoborolls","#869B5D"
"Andeptic Cryofluvents","#6099C7"
"Andeptic Cryorthents","#94925B"
"Andeptic Glossoboric","#F75881"
"Andeptic Haplohumults","#64A85F"
"Andeptic Palehumults","#73A35E"
"Andeptic Udorthents","#5F62D2"
"Andic Aquorthels","#60B2C1"
"Andic Argiborolls","#8A7159"
"Andic Argicryolls","#91875A"
"Andic Argiudolls","#60B48D"
"Andic Argiustolls","#725ED6"
"Andic Argixerolls","#F6588B"
"Andic Cryaquepts","#886C58"
"Andic Cryaquods","#615FD3"
"Andic Cryoboralfs","#5FB07C"
"Andic Cryoborolls","#ED5AC6"
"Andic Cryochrepts","#6CA55E"
"Andic Cryofluvents","#60B592"
"Andic Cryorthods","#64A75F"
"Andic Cryumbrepts","#928C5B"
"Andic Duraquods","#EB5BD1"
"Andic Duricryods","#6089CB"
"Andic Durihumods","#608DCA"
"Andic Durixerepts","#92955B"
"Andic Durochrepts","#60B387"
"Andic Durorthods","#71A45E"
"Andic Durudepts","#876A58"
"Andic Dystric","#8E7F5A"
"Andic Dystric Eutrochrepts","#5F67D1"
"Andic Dystrochrepts","#6090C9"
"Andic Dystrocryepts","#5FAB67"
"Andic Dystrogelepts","#6B5FD5"
"Andic Dystropepts","#EF5ABC"
"Andic Dystroxerepts","#C25DE3"
"Andic Dystrudepts","#F059B3"
"Andic Dystrustepts","#60A8C4"
"Andic Endoaquods","#61A85F"
"Andic Epiaquic","#5FB079"
"Andic Epiaquods","#8A9A5C"
"Andic Eutroboralfs","#8E7D5A"
"Andic Eutrochrepts","#C05DE2"
"Andic Eutrocryepts","#835E57"
"Andic Eutrogelepts","#BC5DE2"
"Andic Eutropepts","#93955B"
"Andic Eutrudepts","#8F815A"
"Andic Fragiboralfs","#60B4C1"
"Andic Fragiochrepts","#60B4C1"
"Andic Fragiudalfs","#60B4C1"
"Andic Fragiudepts","#8E5EDB"
"Andic Fragiumbrepts","#90975C"
"Andic Fragixeralfs","#608BCA"
"Andic Fragixerepts","#805655"
"Andic Fraglossudalfs","#60B388"
"Andic Glossoboralfs","#9B5EDD"
"Andic Glossocryalfs","#8E7E5A"
"Andic Glossudalfs","#925EDC"
"Andic Haploborolls","#899A5C"
"Andic Haplocryalfs","#695FD5"
"Andic Haplocryepts","#6BA55E"
"Andic Haplocryods","#F65885"
"Andic Haplocryolls","#D05CE5"
"Andic Haplogelepts","#60BDB8"
"Andic Haplogelods","#8A9A5C"
"Andic Haplogelolls","#60B282"
"Andic Haplohumods","#EA5BDB"
"Andic Haplohumults","#FC565A"
"Andic Haploperox","#849C5D"
"Andic Haplorthods","#8A7259"
"Andic Haploxeralfs","#609FC6"
"Andic Haploxerepts","#91965C"
"Andic Haploxerolls","#F159B0"
"Andic Haploxerults","#F5588D"
"Andic Hapludalfs","#FC565D"
"Andic Hapludolls","#A15DDE"
"Andic Hapludox","#7CA05D"
"Andic Haplumbrepts","#896E58"
"Andic Haplustepts","#5F73CF"
"Andic Haplustolls","#608ACB"
"Andic Humicryepts","#EB5BD1"
"Andic Humicryods","#60B388"
"Andic Humigelepts","#FC5659"
"Andic Humigelods","#8E7F5A"
"Andic Humitropepts","#91895B"
"Andic Humixerepts","#675FD4"
"Andic Humudepts","#EB5BD3"
"Andic Humustepts","#FB5662"
"Andic Kandihumults","#FC5656"
"Andic Kandiperox","#EC5BD0"
"Andic Kandiudox","#5F76CF"
"Andic Kandiudults","#78A15E"
"Andic Kandiustults","#8C7959"
"Andic Kanhaplohumults","#5F76CE"
"Andic Kanhapludults","#EB5BD2"
"Andic Kanhaplustults","#64A85F"
"Andic Molliturbels","#5F82CC"
"Andic Mollorthels","#8F815A"
"Andic Ombroaquic Kandihumults","#F6588A"
"Andic Oxyaquic Dystrudepts","#FB5663"
"Andic Oxyaquic Haploxerepts","#60B5C0"
"Andic Oxyaquic Humudepts","#F85776"
"Andic Paleboralfs","#9D5DDD"
"Andic Palecryalfs","#5F83CC"
"Andic Palehumults","#5FAB66"
"Andic Paleudalfs","#FB5661"
"Andic Paleustolls","#FB5660"
"Andic Palexeralfs","#FB5660"
"Andic Palexerults","#8C995C"
"Andic Placaquods","#8D7A59"
"Andic Placocryods","#6094C8"
"Andic Placohumods","#F75881"
"Andic Troporthents","#5F7FCD"
"Andic Udic","#879B5D"
"Andic Udifluvents","#896E58"
"Andic Udorthents","#C65CE3"
"Andic Umbriturbels","#835F57"
"Andic Umbrorthels","#938E5B"
"Andic Ustic","#F65886"
"Andic Ustic Humitropepts","#5FAC6B"
"Andic Ustochrepts","#5FAB65"
"Andic Xerochrepts","#5FAC6B"
"Andic Xerofluvents","#E05CE7"
"Andic Xerorthents","#865EDA"
"Andic Xerumbrepts","#60B284"
"Anionic Acroperox","#5F66D2"
"Anionic Acrudox","#EF5ABB"
"Anionic Acrustox","#5FB17E"
"Anionic Aquic Acrudox","#5FAF77"
"Anionic Aquic Acrustox","#5F82CC"
"Anthraquic Eutrochrepts","#EE5AC2"
"Anthraquic Eutrudepts","#60BDB7"
"Anthraquic Hapludalfs","#BF5DE2"
"Anthraquic Hapludands","#60BABF"
"Anthraquic Haplustepts","#EB5BD6"
"Anthraquic Haplustolls","#6092C9"
"Anthraquic Melanudands","#60BEBC"
"Anthraquic Paleudalfs","#D45CE5"
"Anthraquic Paleudults","#90835A"
"Anthraquic Ustifluvents","#60B590"
"Anthraquic Ustochrepts","#60A1C5"
"Anthraquic Ustorthents","#5F72CF"
"Anthropic Camborthids","#F259A7"
"Anthropic Kandihumults","#EF5AB8"
"Anthropic Kanhaplohumults","#5FAA62"
"Anthropic Paleudalfs","#60B1C2"
"Anthropic Torrifluvents","#62A85F"
"Aqualfic Argixerolls","#815956"
"Aqualfic Haplorthods","#5F74CF"
"Aquandic Albaqualfs","#60A9C3"
"Aquandic Argialbolls","#60A2C5"
"Aquandic Cryaquents","#71A35E"
"Aquandic Cryaquepts","#6091C9"
"Aquandic Cryaquolls","#896E58"
"Aquandic Duricryods","#B95DE1"
"Aquandic Durixerepts","#60B282"
"Aquandic Durochrepts","#5FB17F"
"Aquandic Durudepts","#625FD3"
"Aquandic Dystrochrepts","#60B590"
"Aquandic Dystrocryepts","#7BA05D"
"Aquandic Dystroxerepts","#94945B"
"Aquandic Dystrudepts","#8B7359"
"Aquandic Endoaqualfs","#60BCB1"
"Aquandic Endoaquepts","#F159AF"
"Aquandic Endoaquolls","#5F81CC"
"Aquandic Epiaqualfs","#5F84CC"
"Aquandic Epiaquepts","#839D5D"
"Aquandic Epiaquolls","#5FAA62"
"Aquandic Fluvaquents","#9B5EDD"
"Aquandic Gelaquepts","#805856"
"Aquandic Glossudalfs","#63A85F"
"Aquandic Halaquepts","#60BCB2"
"Aquandic Haplaquolls","#9D5DDD"
"Aquandic Haplocryepts","#5F79CE"
"Aquandic Haplocryods","#8D7C5A"
"Aquandic Haplohumults","#76A25E"
"Aquandic Haploxeralfs","#8C5EDA"
"Aquandic Haploxerepts","#825B56"
"Aquandic Hapludults","#67A75E"
"Aquandic Haplumbrepts","#60A6C4"
"Aquandic Humaquepts","#839D5D"
"Aquandic Humicryepts","#E95BDE"
"Aquandic Humicryods","#5FAD6E"
"Aquandic Humixerepts","#896F58"
"Aquandic Humudepts","#60A5C4"
"Aquandic Kandiudults","#94935B"
"Aquandic Kanhaplaquults","#EC5BD0"
"Aquandic Palehumults","#60B695"
"Aquandic Palexeralfs","#63A85F"
"Aquandic Palexerults","#6DA55E"
"Aquandic Placaquepts","#74A25E"
"Aquandic Tropaquepts","#928C5B"
"Aquandic Umbraqualfs","#60B697"
"Aquandic Xerochrepts","#6086CB"
"Aquandic Xerofluvents","#EF5AB7"
"Aquandic Xerorthents","#745ED7"
"Aquentic Chromuderts","#608FCA"
"Aquentic Durorthids","#60B0C2"
"Aquentic Fragiorthods","#8C7759"
"Aquentic Haplorthods","#E15CE7"
"Aqueptic Fragiudalfs","#6090C9"
"Aqueptic Haplustox","#F45895"
"Aquertic Argiborolls","#A15DDE"
"Aquertic Argiudolls","#6C5FD5"
"Aquertic Argiustolls","#7D9F5D"
"Aquertic Chromic Hapludalfs","#60A5C5"
"Aquertic Eutroboralfs","#5FAA61"
"Aquertic Eutropepts","#F259A5"
"Aquertic Eutrudepts","#839D5D"
"Aquertic Glossudalfs","#60B6C0"
"Aquertic Haploborolls","#FA5666"
"Aquertic Hapludalfs","#90865A"
"Aquertic Hapludolls","#928D5B"
"Aquertic Haplustalfs","#5F6CD0"
"Aquertic Haplustolls","#846157"
"Aquertic Humitropepts","#EA5BD8"
"Aquertic Natrustalfs","#8B7559"
"Aquertic Paleustalfs","#60B9A4"
"Aquertic Udifluvents","#CB5CE4"
"Aquertic Ustifluvents","#846257"
"Aquic Acroperox","#A55DDE"
"Aquic Acrudox","#6095C8"
"Aquic Acrustox","#895EDA"
"Aquic Anionic","#5FB281"
"Aquic Arenic Eutroboralfs","#F9576F"
"Aquic Arenic Glossudalfs","#5F63D2"
"Aquic Arenic Hapludalfs","#6095C8"
"Aquic Arenic Hapludults","#68A65E"
"Aquic Arenic Haplustalfs","#CA5CE4"
"Aquic Arenic Kandiudults","#A15DDE"
"Aquic Arenic Kandiustalfs","#8C7659"
"Aquic Arenic Natrustalfs","#5FAA63"
"Aquic Arenic Paleudults","#8B995C"
"Aquic Arenic Paleustalfs","#6097C8"
"Aquic Argiborolls","#886C58"
"Aquic Argicryolls","#609EC6"
"Aquic Argidurids","#78A15E"
"Aquic Argiudolls","#F159AB"
"Aquic Argiustolls","#D65CE5"
"Aquic Argixerolls","#855ED9"
"Aquic Calciargids","#5FAC68"
"Aquic Calciborolls","#7C9F5D"
"Aquic Calciorthids","#60B592"
"Aquic Calciudolls","#5F80CD"
"Aquic Calciustepts","#608DCA"
"Aquic Calciustolls","#91965C"
"Aquic Calcixerepts","#ED5AC9"
"Aquic Calcixerolls","#876958"
"Aquic Camborthids","#E05CE7"
"Aquic Chromoxererts","#965EDC"
"Aquic Chromuderts","#EC5ACB"
"Aquic Cryoboralfs","#905EDB"
"Aquic Cryoborolls","#8C5EDB"
"Aquic Cryochrepts","#856357"
"Aquic Cryofluvents","#90975C"
"Aquic Cryopsamments","#886C58"
"Aquic Cryorthents","#60BBAE"
"Aquic Cryumbrepts","#8E985C"
"Aquic Cumulic Cryoborolls","#8F825A"
"Aquic Cumulic Haploborolls","#FA576D"
"Aquic Cumulic Haplocryolls","#9A5EDD"
"Aquic Cumulic Haploxerolls","#CA5CE4"
"Aquic Cumulic Hapludolls","#EA5BD9"
"Aquic Cumulic Haplustolls","#94945B"
"Aquic Durargids","#8F975C"
"Aquic Duric Calciorthids","#5F69D1"
"Aquic Duric Camborthids","#EA5BD9"
"Aquic Duric Haploxerolls","#DA5CE6"
"Aquic Duric Hapludands","#62A85F"
"Aquic Duric Natrixerolls","#90855A"
"Aquic Duric Torriorthents","#60BBAF"
"Aquic Duricryands","#91895B"
"Aquic Duricryods","#60B8A0"
"Aquic Durinodic Haplocalcids","#60BCBF"
"Aquic Durinodic Xeropsamments","#60A95F"
"Aquic Durinodic Xerorthents","#846157"
"Aquic Durixeralfs","#5F74CF"
"Aquic Durixerepts","#93915B"
"Aquic Durixererts","#5FAA61"
"Aquic Durixerolls","#CA5CE4"
"Aquic Durochrepts","#8F825A"
"Aquic Durorthidic Torriorthents","#9F5DDD"
"Aquic Durorthidic Xeropsamments","#60BDB9"
"Aquic Durorthidic Xerorthents","#F259A8"
"Aquic Durorthids","#60B388"
"Aquic Durudands","#5FAE71"
"Aquic Durudepts","#889B5D"
"Aquic Durustands","#72A35E"
"Aquic Dystrandepts","#725ED6"
"Aquic Dystric Eutrochrepts","#5FAE72"
"Aquic Dystric Eutrudepts","#7C5ED8"
"Aquic Dystric Xerochrepts","#60A3C5"
"Aquic Dystrochrepts","#6FA45E"
"Aquic Dystrocryepts","#8F815A"
"Aquic Dystrogelepts","#846057"
"Aquic Dystropepts","#F55891"
"Aquic Dystroxerepts","#60BEBC"
"Aquic Dystrudepts","#6093C9"
"Aquic Dystruderts","#F45896"
"Aquic Dystrustepts","#655FD4"
"Aquic Dystrusterts","#899A5C"
"Aquic Eutroboralfs","#F059B1"
"Aquic Eutrochrepts","#815856"
"Aquic Eutrocryepts","#875EDA"
"Aquic Eutrogelepts","#E05CE7"
"Aquic Eutropepts","#D85CE6"
"Aquic Eutroperox","#8B7459"
"Aquic Eutrudepts","#60BCB3"
"Aquic Eutrudox","#EB5BD3"
"Aquic Eutrustox","#60B697"
"Aquic Ferrudalfs","#60B592"
"Aquic Fragiboralfs","#6E5FD6"
"Aquic Fragiochrepts","#90865A"
"Aquic Fragiorthods","#805756"
"Aquic Fragiudalfs","#5F76CF"
"Aquic Fragiudepts","#685FD4"
"Aquic Fragiudults","#935EDC"
"Aquic Fragiumbrepts","#60BDBB"
"Aquic Fragixeralfs","#60B6C0"
"Aquic Fragixerepts","#90975C"
"Aquic Fraglossudalfs","#60B89F"
"Aquic Fulvudands","#60B89E"
"Aquic Gelifluvents","#9E5DDD"
"Aquic Gelorthents","#DE5CE6"
"Aquic Glossoboralfs","#609CC7"
"Aquic Glossocryalfs","#5FB07B"
"Aquic Glossudalfs","#829D5D"
"Aquic Gypsiargids","#805656"
"Aquic Haplargids","#5F70D0"
"Aquic Haplic Nadurargids","#91885A"
"Aquic Haploborolls","#60B697"
"Aquic Haplocalcids","#EE5AC4"
"Aquic Haplocryalfs","#8C995C"
"Aquic Haplocryands","#F159AB"
"Aquic Haplocryepts","#8C7859"
"Aquic Haplocryods","#60B58E"
"Aquic Haplocryolls","#60ACC3"
"Aquic Haploduridic Torriorthents","#866557"
"Aquic Haplodurids","#60BEBE"
"Aquic Haplogelepts","#665FD4"
"Aquic Haplogelods","#795ED7"
"Aquic Haplogelolls","#60B6C0"
"Aquic Haplohumults","#5F68D1"
"Aquic Haploperox","#6096C8"
"Aquic Haplorthels","#77A15E"
"Aquic Haplorthods","#5FB078"
"Aquic Haploturbels","#79A15E"
"Aquic Haploxeralfs","#E95BE0"
"Aquic Haploxerands","#8C5EDB"
"Aquic Haploxerepts","#5F7ECD"
"Aquic Haploxererts","#EB5BD4"
"Aquic Haploxerolls","#8C7859"
"Aquic Haploxerults","#D95CE6"
"Aquic Hapludalfs","#5F76CF"
"Aquic Hapludands","#EA5BDB"
"Aquic Hapluderts","#74A35E"
"Aquic Hapludolls","#F65889"
"Aquic Hapludox","#8D985C"
"Aquic Hapludults","#897058"
"Aquic Haplumbrepts","#C45CE3"
"Aquic Haplustalfs","#6DA55E"
"Aquic Haplustands","#F05AB5"
"Aquic Haplustepts","#60BAAA"
"Aquic Haplustolls","#F95770"
"Aquic Haplustox","#EA5BDA"
"Aquic Haplustults","#60A1C6"
"Aquic Humic Dystrudepts","#AC5DDF"
"Aquic Humicryepts","#608BCA"
"Aquic Humicryods","#60B693"
"Aquic Humigelepts","#6088CB"
"Aquic Humigelods","#856457"
"Aquic Humitropepts","#5F64D2"
"Aquic Humixerepts","#879B5D"
"Aquic Humudepts","#AE5DE0"
"Aquic Hydrocryands","#E95BE2"
"Aquic Hydrudands","#F45894"
"Aquic Kandihumults","#F8577B"
"Aquic Kandiperox","#6088CB"
"Aquic Kandiudalfs","#E55CE7"
"Aquic Kandiudox","#879B5D"
"Aquic Kandiudults","#825B56"
"Aquic Kandiustalfs","#E85BE3"
"Aquic Kandiustox","#94915B"
"Aquic Kandiustults","#F259A8"
"Aquic Kanhaplohumults","#60B386"
"Aquic Kanhapludalfs","#876958"
"Aquic Kanhapludults","#897058"
"Aquic Kanhaplustalfs","#FC5656"
"Aquic Kanhaplustults","#EB5BD2"
"Aquic Lithic Acroperox","#896E58"
"Aquic Lithic Acrudox","#9D5DDD"
"Aquic Lithic Acrustox","#889B5D"
"Aquic Lithic Eutroperox","#8F825A"
"Aquic Lithic Eutrudox","#60B4C1"
"Aquic Lithic Eutrustox","#90845A"
"Aquic Lithic Haploperox","#845ED9"
"Aquic Lithic Hapludalfs","#5F7FCD"
"Aquic Lithic Hapludox","#F55892"
"Aquic Lithic Haplustox","#7C5ED8"
"Aquic Lithic Kandiperox","#7D5ED8"
"Aquic Lithic Kandiudox","#A35DDE"
"Aquic Lithic Kandiustox","#BE5DE2"
"Aquic Melanudands","#FC5659"
"Aquic Molliturbels","#D25CE5"
"Aquic Mollorthels","#7AA05E"
"Aquic Nadurargids","#A85DDF"
"Aquic Natrargidic Natridurids","#795ED7"
"Aquic Natrargids","#E85BE5"
"Aquic Natridurids","#62A85F"
"Aquic Natrixeralfs","#93905B"
"Aquic Natrixerolls","#90865A"
"Aquic Natrudalfs","#ED5ACA"
"Aquic Natrustalfs","#E85BE5"
"Aquic Natrustolls","#F65888"
"Aquic Pachic Argiudolls","#60A7C4"
"Aquic Pachic Hapludolls","#ED5AC8"
"Aquic Pachic Paleudolls","#8C5EDA"
"Aquic Paleargids","#74A35E"
"Aquic Paleboralfs","#829D5D"
"Aquic Paleborolls","#60BEBC"
"Aquic Palecryalfs","#60A4C5"
"Aquic Palecryolls","#8F815A"
"Aquic Palehumults","#60B6C0"
"Aquic Paleorthids","#897058"
"Aquic Paleudalfs","#60B0C2"
"Aquic Paleudolls","#EC5BCF"
"Aquic Paleudults","#645FD4"
"Aquic Paleustalfs","#60B591"
"Aquic Paleustolls","#71A35E"
"Aquic Palexeralfs","#6087CB"
"Aquic Palexerolls","#EB5BD4"
"Aquic Palexerults","#60BCB3"
"Aquic Petrocalcids","#61A95F"
"Aquic Petroferric Acroperox","#CC5CE4"
"Aquic Petroferric Acrudox","#C55CE3"
"Aquic Petroferric Acrustox","#ED5AC7"
"Aquic Petroferric Eutroperox","#EE5AC3"
"Aquic Petroferric Eutrudox","#75A25E"
"Aquic Petroferric Eutrustox","#608ECA"
"Aquic Petroferric Haploperox","#F3599C"
"Aquic Petroferric Hapludox","#69A65E"
"Aquic Petroferric Haplustox","#60B696"
"Aquic Petroferric Kandiperox","#60A4C5"
"Aquic Petroferric Kandiudox","#60A9C3"
"Aquic Petroferric Kandiustox","#6F5FD6"
"Aquic Placudands","#5F62D2"
"Aquic Psammentic","#EC5BCE"
"Aquic Quartzipsamments","#896E58"
"Aquic Salicryids","#60BDB7"
"Aquic Salitorrerts","#8A7159"
"Aquic Salusterts","#809E5D"
"Aquic Torrifluvents","#EA5BDA"
"Aquic Torriorthents","#EE5AC1"
"Aquic Tropopsamments","#EF5ABB"
"Aquic Tropudalfs","#60B693"
"Aquic Tropudults","#F95771"
"Aquic Udifluvents","#60B9A3"
"Aquic Udipsamments","#715ED6"
"Aquic Udivitrands","#5FAF75"
"Aquic Udorthents","#73A35E"
"Aquic Umbriturbels","#856457"
"Aquic Umbrorthels","#72A35E"
"Aquic Ustifluvents","#EE5AC2"
"Aquic Ustipsamments","#FA5666"
"Aquic Ustivitrands","#5FAE72"
"Aquic Ustochrepts","#60BDB7"
"Aquic Ustorthents","#D15CE5"
"Aquic Ustropepts","#60ADC3"
"Aquic Vermustolls","#918A5B"
"Aquic Vitrandepts","#73A35E"
"Aquic Vitricryands","#886B58"
"Aquic Vitritorrands","#615FD3"
"Aquic Vitrixerands","#7F5ED8"
"Aquic Xerochrepts","#6092C9"
"Aquic Xerofluvents","#FB5660"
"Aquic Xeropsamments","#60BAAA"
"Aquic Xerorthents","#609BC7"
"Aquic Xerumbrepts","#7F9E5D"
"Aquicambidic Haplodurids","#62A85F"
"Aquodic Quartzipsamments","#8D7B59"
"Aquollic Hapludalfs","#815856"
"Aquollic Salorthids","#CE5CE4"
"Aquultic Argixerolls","#7E9F5D"
"Aquultic Haploxeralfs","#75A25E"
"Aquultic Haploxerolls","#F75882"
"Aquultic Hapludalfs","#FB5665"
"Aquultic Haplustalfs","#60ADC3"
"Arenic Alaquods","#78A15E"
"Arenic Albaqualfs","#609DC6"
"Arenic Alorthods","#5FB180"
"Arenic Argiaquolls","#E95BDF"
"Arenic Argiborolls","#60BDB8"
"Arenic Argiudolls","#7C9F5D"
"Arenic Aridic Haplustalfs","#60BAA7"
"Arenic Aridic Kandiustalfs","#5F78CE"
