LegendText,RgbString
"Abruptic Argiaquolls","#825C56"
"Abruptic Argiborolls","#866657"
"Abruptic Argicryolls","#60B695"
"Abruptic Argiduridic Durixerolls","#F65888"
"Abruptic Argidurids","#5F71D0"
"Abruptic Argiudolls","#F159AF"
"Abruptic Aridic Argiborolls","#FC5657"
"Abruptic Aridic Argixerolls","#AA5DDF"
"Abruptic Aridic Durixerolls","#5FB07A"
"Abruptic Cryic Paleborolls","#815ED9"
"Abruptic Cryoborolls","#E45CE7"
"Abruptic Durargids","#5FAB64"
"Abruptic Durixeralfs","#8F5EDB"
"Abruptic Durixerolls","#869B5D"
"Abruptic Haplic Durixeralfs","#60B5C1"
"Abruptic Paleboralfs","#F6588A"
"Abruptic Paleborolls","#60B7C0"
"Abruptic Palecryolls","#5FAF78"
"Abruptic Udic Argiborolls","#8A7159"
"Abruptic Xeric Argidurids","#8E7F5A"
"Abruptic Xerollic Durargids","#896D58"
"Acraquoxic Duraquands","#FB5662"
"Acraquoxic Kandiaquults","#F95775"
"Acraquoxic Melanaquands","#6092C9"
"Acric Kandiaquults","#905EDB"
"Acric Plinthic","#6086CB"
"Acrudoxic Durudands","#6CA55E"
"Acrudoxic Fulvudands","#92965B"
"Acrudoxic Haplocryands","#608ACB"
"Acrudoxic Hapludands","#ED5AC7"
"Acrudoxic Hydric Fulvudands","#D75CE5"
"Acrudoxic Hydric Hapludands","#60B79C"
"Acrudoxic Hydric Melanudands","#5FAF75"
"Acrudoxic Hydric Placudands","#715ED6"
"Acrudoxic Hydrudands","#60B9A5"
"Acrudoxic Kandiudults","#735ED6"
"Acrudoxic Kanhapludults","#C75CE3"
"Acrudoxic Melanudands","#60BAAB"
"Acrudoxic Placudands","#E95BE0"
"Acrudoxic Plinthic Kandiudults","#5FAB65"
"Acrudoxic Thaptic Hapludands","#5FAC6A"
"Acrudoxic Thaptic Hydrudands","#8E7E5A"
"Acrudoxic Ultic Fulvudands","#66A75E"
"Acrudoxic Ultic Hapludands","#63A85F"
"Acrudoxic Vitric Melanudands","#886D58"
"Acrustoxic Kandiustults","#DC5CE6"
"Acrustoxic Kanhaplustults","#B55DE1"
"Aeric Acraquox","#5F5FD3"
"Aeric Alaquods","#EF5ABD"
"Aeric Albaqualfs","#60B9A5"
"Aeric Albaquults","#856557"
"Aeric Andaquepts","#60B9A4"
"Aeric Arenic","#819E5D"
"Aeric Calciaquerts","#5FB17F"
"Aeric Calciaquolls","#8F815A"
"Aeric Chromic Vertic Epiaqualfs","#775ED7"
"Aeric Cryaquepts","#60BDB8"
"Aeric Cryaquods","#F45898"
"Aeric Duraquerts","#A75DDF"
"Aeric Dystraquerts","#CD5CE4"
"Aeric Endoaqualfs","#608CCA"
"Aeric Endoaquents","#835E57"
"Aeric Endoaquepts","#FC565D"
"Aeric Endoaquerts","#5FAA60"
"Aeric Endoaquults","#60BBAE"
"Aeric Epiaqualfs","#76A25E"
"Aeric Epiaquents","#866758"
"Aeric Epiaquepts","#805856"
"Aeric Epiaquerts","#6098C8"
"Aeric Epiaquults","#60BEBE"
"Aeric Eutraquox","#EB5BD3"
"Aeric Fluvaquents","#825A56"
"Aeric Fluviwassents","#8B7659"
"Aeric Fragiaqualfs","#D25CE5"
"Aeric Fragiaquepts","#ED5AC5"
"Aeric Fragiaquults","#8D7B59"
"Aeric Fragic Endoaqualfs","#856457"
"Aeric Fragic Epiaqualfs","#E85BE3"
"Aeric Fragic Epiaquults","#609EC6"
"Aeric Fragic Glossaqualfs","#865ED9"
"Aeric Frasiwassents","#5F73CF"
"Aeric Glossaqualfs","#5F79CE"
"Aeric Grossarenic","#EF5ABC"
"Aeric Halaquepts","#EE5AC4"
"Aeric Haplaquents","#6BA55E"
"Aeric Haplaquepts","#809E5D"
"Aeric Haplaquods","#5F84CC"
"Aeric Haplaquox","#835F57"
"Aeric Haplowassents","#60B697"
"Aeric Humaquepts","#5F72CF"
"Aeric Humic Cryaquepts","#5FAB65"
"Aeric Kandiaqualfs","#CC5CE4"
"Aeric Kandiaquults","#EF5AB9"
"Aeric Kanhaplaquults","#F259A5"
"Aeric Mollic","#5F7ACE"
"Aeric Ochraqualfs","#B25DE0"
"Aeric Ochraquults","#60B592"
"Aeric Paleaquults","#F65887"
"Aeric Plinthaquox","#609DC6"
"Aeric Plinthic Fragiaquults","#60B9BF"
"Aeric Psammowassents","#6088CB"
"Aeric Sulfiwassents","#FB565E"
"Aeric Tropaqualfs","#60B693"
"Aeric Tropaquepts","#809E5D"
"Aeric Tropaquods","#859C5D"
"Aeric Tropic Fluvaquents","#E95BE1"
"Aeric Umbric Endoaqualfs","#5FAD6F"
"Aeric Umbric Epiaqualfs","#60B79C"
"Aeric Umbric Kandiaqualfs","#825C56"
"Aeric Umbric Kanhaplaquults","#F059B2"
"Aeric Umbric Ochraqualfs","#60B9A5"
"Aeric Vertic Albaqualfs","#68A65E"
"Aeric Vertic Epiaqualfs","#8A7259"
"Aeric Xeric","#EC5BCF"
"Albaquic Fragiudalfs","#869B5D"
"Albaquic Hapludalfs","#FB565F"
"Albaquic Paleudalfs","#60BDB9"
"Albaquultic Hapludalfs","#EC5BCF"
"Albic Argiborolls","#7D9F5D"
"Albic Argiudolls","#928C5B"
"Albic Argixerolls","#5FB078"
"Albic Cryoborolls","#60B799"
"Albic Glossic Natraqualfs","#8B7559"
"Albic Natraqualfs","#60B79B"
"Albollic Argiborolls","#DB5CE6"
"Alfic Alaquods","#5FAB66"
"Alfic Alorthods","#B45DE1"
"Alfic Andeptic","#7BA05D"
"Alfic Andeptic Cryorthents","#5FAC69"
"Alfic Arenic Alaquods","#D35CE5"
"Alfic Arenic Haplaquods","#60B7C0"
"Alfic Argicryolls","#60A95F"
"Alfic Argiudolls","#60B694"
"Alfic Argiustolls","#F95770"
"Alfic Argixerolls","#5FA960"
"Alfic Cryochrepts","#5F60D3"
"Alfic Cryopsamments","#EB5BD1"
"Alfic Cryorthents","#6A5FD5"
"Alfic Epiaquods","#985EDC"
"Alfic Fragiorthods","#7E9F5D"
"Alfic Haplaquods","#F159AB"
"Alfic Haplorthods","#866658"
"Alfic Haploxerands","#7BA05D"
"Alfic Hapludands","#F259A6"
"Alfic Haplustands","#60AEC2"
"Alfic Humic Haploxerands","#72A35E"
