LegendText,RgbString
"Aquic","#60BEBE"
"Aridic (torric)","#94945B"
"Peraquic","#E85BE8"
"Perudic","#805555"
"Udic","#5F5FD3"
"Ustic","#FC5656"
"Xeric","#5FA95F"
"Not rated or not available","#DCDCDC"
