MapUnitKey,RatingStr,RatingNum,RgbString
dummy,dummy,123.456,dummy
2482855,"Not prime farmland",,"#FF0000"
2484593,"Not prime farmland",,"#FF0000"
2518848,"Not prime farmland",,"#FF0000"
2518849,"Not prime farmland",,"#FF0000"
2518852,"Not prime farmland",,"#FF0000"
2589227,"Not prime farmland",,"#FF0000"
2589233,"Not prime farmland",,"#FF0000"
2589249,"Not prime farmland",,"#FF0000"
2589250,"Not prime farmland",,"#FF0000"
2589251,"Not prime farmland",,"#FF0000"
2589258,"Not prime farmland",,"#FF0000"
